pathway_note	reaction_name	IS_reversible	substrate	product
hsa00010	R00710	true	C00084	C00033
hsa00010	R00710	true	C00033	C00084
hsa00010	R00711	true	C00084	C00033
hsa00010	R00711	true	C00033	C00084
hsa00010	R00746	true	C00469	C00084
hsa00010	R00746	true	C00084	C00469
hsa00010	R00754	true	C00469	C00084
hsa00010	R00754	true	C00084	C00469
hsa00010	R00014	false	C00068 	C05125
hsa00010	R00014	false	 C00022	C05125
hsa00010	R03270	false	C05125 	C16255 
hsa00010	R03270	false	C05125 	 C00068
hsa00010	R03270	false	 C15972	C16255 
hsa00010	R03270	false	 C15972	 C00068
hsa00010	R02569	true	C00024 	C16255
hsa00010	R02569	true	 C15973	C16255
hsa00010	R02569	true	C16255	C00024 
hsa00010	R02569	true	C16255	 C15973
hsa00010	R00703	true	C00186	C00022
hsa00010	R00703	true	C00022	C00186
hsa00010	R00200	false	C00074	C00022
hsa00010	R00658	true	C00631	C00074
hsa00010	R00658	true	C00074	C00631
hsa00010	R01518	true	C00631	C00197
hsa00010	R01518	true	C00197	C00631
hsa00010	R01061	true	C00118	C00236
hsa00010	R01061	true	C00236	C00118
hsa00010	R01015	true	C00118	C00111
hsa00010	R01015	true	C00111	C00118
hsa00010	R01070	true	C05378	C00111 
hsa00010	R01070	true	C05378	 C00118
hsa00010	R01070	true	C00111 	C05378
hsa00010	R01070	true	 C00118	C05378
hsa00010	R04779	false	C05345	C05378
hsa00010	R04780	false	C05378	C05345
hsa00010	R02740	true	C00668	C05345
hsa00010	R02740	true	C05345	C00668
hsa00010	R00959	true	C00103	C00668
hsa00010	R00959	true	C00668	C00103
hsa00010	R03321	true	C01172	C05345
hsa00010	R03321	true	C05345	C01172
hsa00010	R01600	false	C00221	C01172
hsa00010	R01600	false	C00221	C01172
hsa00010	R02739	true	C00668	C01172
hsa00010	R02739	true	C01172	C00668
hsa00010	R01602	true	C00267	C00221
hsa00010	R01602	true	C00221	C00267
hsa00010	R01786	false	C00267	C00668
hsa00010	R01786	false	C00267	C00668
hsa00010	R01788	false	C00668	C00267
hsa00010	R07618	true	C15973	C15972
hsa00010	R07618	true	C15972	C15973
hsa00010	R01512	true	C00197	C00236
hsa00010	R01512	true	C00236	C00197
hsa00010	R00431&R00726	false	C00036	C00074
hsa00010	R01516	true	C01159	C00197
hsa00010	R01516	true	C00197	C01159
hsa00010	R01662	true	C00236	C01159
hsa00010	R01662	true	C01159	C00236
hsa00010	R00235	false	C00033	C00024
hsa00010	R09085	false	C00267	C00668
hsa00010	R09086	true	C00221	C01172
hsa00010	R09086	true	C01172	C00221
hsa00010	R09532	false	C01159	C00631
hsa00020	R07618	true	C15973	C15972
hsa00020	R07618	true	C15972	C15973
hsa00020	R00621	false	C00026 	C05381
hsa00020	R00621	false	 C00068	C05381
hsa00020	R03316	false	C15972 	C16254 
hsa00020	R03316	false	C15972 	 C00068
hsa00020	R03316	false	 C05381	C16254 
hsa00020	R03316	false	 C05381	 C00068
hsa00020	R02570	true	C00091 	C16254
hsa00020	R02570	true	 C15973	C16254
hsa00020	R02570	true	C16254	C00091 
hsa00020	R02570	true	C16254	 C15973
hsa00020	R00405	true	C00042	C00091
hsa00020	R00405	true	C00091	C00042
hsa00020	R00432&R00727	true	C00042	C00091
hsa00020	R00432&R00727	true	C00091	C00042
hsa00020	R00268	true	C05379	C00026
hsa00020	R00268	true	C00026	C05379
hsa00020	R00709	true	C00311	C00026
hsa00020	R00709	true	C00026	C00311
hsa00020	R01899	true	C00311	C05379
hsa00020	R01899	true	C05379	C00311
hsa00020	R00352	true	C00036 	C00158
hsa00020	R00352	true	 C00024	C00158
hsa00020	R00352	true	C00158	C00036 
hsa00020	R00352	true	C00158	 C00024
hsa00020	R02164	true	C00042	C00122
hsa00020	R02164	true	C00122	C00042
hsa00020	R01082	true	C00149	C00122
hsa00020	R01082	true	C00122	C00149
hsa00020	R01900	true	C00417	C00311
hsa00020	R01900	true	C00311	C00417
hsa00020	R01325	true	C00158	C00417
hsa00020	R01325	true	C00417	C00158
hsa00020	R00351	true	C00036 	C00158
hsa00020	R00351	true	 C00024	C00158
hsa00020	R00351	true	C00158	C00036 
hsa00020	R00351	true	C00158	 C00024
hsa00020	R00342	true	C00149	C00036
hsa00020	R00342	true	C00036	C00149
hsa00020	R00344	false	C00022	C00036
hsa00020	R00014	false	C00022 	C05125
hsa00020	R00014	false	 C00068	C05125
hsa00020	R03270	false	C05125 	C00068 
hsa00020	R03270	false	C05125 	 C16255
hsa00020	R03270	false	 C15972	C00068 
hsa00020	R03270	false	 C15972	 C16255
hsa00020	R07618	true	C15973	C15972
hsa00020	R07618	true	C15972	C15973
hsa00020	R02569	true	C15973 	C16255
hsa00020	R02569	true	 C00024	C16255
hsa00020	R02569	true	C16255	C15973 
hsa00020	R02569	true	C16255	 C00024
hsa00020	R00431&R00726	false	C00036	C00074
hsa00030	R02739	true	C00668	C01172
hsa00030	R02739	true	C01172	C00668
hsa00030	R02750	true	C01801	C00673
hsa00030	R02750	true	C00673	C01801
hsa00030	R02749	true	C00672	C00673
hsa00030	R02749	true	C00673	C00672
hsa00030	R01066	true	C00673	C00118
hsa00030	R01066	true	C00118	C00673
hsa00030	R01049	true	C00117	C00119
hsa00030	R01049	true	C00119	C00117
hsa00030	R01057	true	C00620	C00117
hsa00030	R01057	true	C00117	C00620
hsa00030	R01051	true	C00121	C00117
hsa00030	R01051	true	C00117	C00121
hsa00030	R01641	true	C05382 	C00117 
hsa00030	R01641	true	C05382 	 C00231
hsa00030	R01641	true	 C00118	C00117 
hsa00030	R01641	true	 C00118	 C00231
hsa00030	R01641	true	C00117 	C05382 
hsa00030	R01641	true	C00117 	 C00118
hsa00030	R01641	true	 C00231	C05382 
hsa00030	R01641	true	 C00231	 C00118
hsa00030	R01056	true	C00117	C00199
hsa00030	R01056	true	C00199	C00117
hsa00030	R01529	true	C00199	C00231
